,sentence,word,word_length,word_freq
921,37,inspector,9,4.342986665
922,37,visited,7,3.837141259
923,37,the,3,7.468477762
924,37,school,6,5.522027521
925,37,at,2,6.506871261
926,37,most,4,5.544444483
927,37,once,4,5.537099982
928,37,in,2,6.989451386
929,37,three,5,5.733607805
930,37,years,5,5.754292039
931,37,and,3,7.126115569
932,37,knew,4,5.566407606
933,37,nothing,7,5.930672691
934,37,whatever,8,5.391687362
935,37,about,5,6.559491539
936,37,his,3,6.326723177
937,37,work,4,5.901428551
938,37,as,2,6.345177693
939,37,he,2,6.882339374
940,37,had,3,6.22366309
941,37,been,4,6.2391404
942,37,in,2,6.989451386
943,37,the,3,7.468477762
944,37,excise,6,2.246076652
945,37,duties,6,3.897139188
946,37,department,10,4.804651901
947,37,and,3,7.126115569
948,37,had,3,6.22366309
949,37,received,8,4.44929091
950,37,the,3,7.468477762
951,37,post,4,4.51063214
952,37,of,2,7.063009914
953,37,school,6,5.522027521
954,37,inspector,9,4.342986665
955,37,through,7,5.739410756
956,37,influence,9,4.169781094
957,38,the,3,7.468477762
958,38,school,6,5.522027521
959,38,council,7,4.228347885
960,38,met,3,5.28123946
961,38,very,4,6.093272155
962,38,rarely,6,3.827128262
963,38,and,3,7.126115569
964,38,there,5,6.637707563
965,38,was,3,6.751817351
966,38,no,2,6.775492746
967,38,knowing,7,4.655069947
968,38,where,5,6.261911244
969,38,it,2,7.27578186
970,38,met,3,5.28123946
971,38,the,3,7.468477762
972,38,school,6,5.522027521
973,38,guardian,8,3.846928591
974,38,was,3,6.751817351
975,38,an,2,6.269886772
976,38,almost,6,5.285622956
977,38,illiterate,10,2.999404318
978,38,peasant,7,3.605701363
979,38,the,3,7.468477762
980,38,head,4,5.569397518
981,38,of,2,7.063009914
982,38,a,1,7.309359959
983,38,tanning,7,3.104747499
984,38,business,8,5.505935878
985,38,unintelligent,13,2.371015388
986,38,rude,4,4.343372533
987,38,and,3,7.126115569
988,38,a,1,7.309359959
989,38,great,5,5.913685238
990,38,friend,6,5.621943397
991,38,of,2,7.063009914
992,38,the,3,7.468477762
993,38,watchman’s—and,14,1.5
994,38,goodness,8,4.510894475
995,38,knows,5,5.388500882
996,38,to,2,7.355006441
997,38,whom,4,4.546140474
998,38,she,3,6.571450902
999,38,could,5,6.211487424
1000,38,appeal,6,4.114002222
1001,38,with,4,6.702554028
1002,38,complaints,10,3.835902186
1003,38,or,2,6.231208606
1004,38,inquiries,9,3.183928745
1005,39,he,2,6.882339374
1006,39,really,6,6.175546668
1007,39,is,2,6.954274634
1008,39,handsome,8,4.518434047
1009,39,she,3,6.571450902
1010,39,thought,7,5.907079076
1011,39,glancing,8,2.634256823
1012,39,at,2,6.506871261
1013,39,hanov,5,1.5
1014,40,the,3,7.468477762
1015,40,road,4,5.04847025
1016,40,grew,4,4.46618474
1017,40,worse,5,4.991064645
1018,40,and,3,7.126115569
1019,40,worse,5,4.991064645
1020,41,they,4,6.612501684
1021,41,drove,5,4.460036889
1022,41,into,4,5.926059428
1023,41,the,3,7.468477762
1024,41,wood,4,4.43108336
1025,42,here,4,6.655049248
1026,42,there,5,6.637707563
1027,42,was,3,6.751817351
1028,42,no,2,6.775492746
1029,42,room,4,5.64239226
1030,42,to,2,7.355006441
1031,42,turn,4,5.485820905
1032,42,round,5,4.82254598
1033,42,the,3,7.468477762
1034,42,wheels,6,4.123703916
1035,42,sank,4,3.337157121
1036,42,deeply,6,4.15930163
1037,42,in,2,6.989451386
1038,42,water,5,5.351738198
1039,42,splashed,8,2.810348082
1040,42,and,3,7.126115569
1041,42,gurgled,7,2.069985393
1042,42,through,7,5.739410756
1043,42,them,4,6.249541971
1044,42,and,3,7.126115569
1045,42,sharp,5,4.376052829
1046,42,twigs,5,2.904617999
1047,42,struck,6,4.209339652
1048,42,them,4,6.249541971
1049,42,in,2,6.989451386
1050,42,the,3,7.468477762
1051,42,face,4,5.460567271
1052,43,what,4,6.992508444
1053,43,a,1,7.309359959
1054,43,road,4,5.04847025
1055,44,said,4,6.044128492
1056,44,hanov,5,1.5
1057,44,and,3,7.126115569
1058,44,he,2,6.882339374
1059,44,laughed,7,4.029026785
1060,45,the,3,7.468477762
1061,45,schoolmistress,14,1.893894133
1062,45,looked,6,5.081908091
1063,45,at,2,6.506871261
1064,45,him,3,6.541548453
1065,45,and,3,7.126115569
1066,45,could,5,6.211487424
1067,45,not,3,6.733802491
1068,45,understand,10,5.682875162
1069,45,why,3,6.351352121
1070,45,this,4,6.901338909
1071,45,queer,5,3.764590591
1072,45,man,3,6.265580656
1073,45,lived,5,4.819335153
1074,45,here,4,6.655049248
1075,46,what,4,6.992508444
1076,46,could,5,6.211487424
1077,46,his,3,6.326723177
1078,46,money,5,5.80611619
1079,46,his,3,6.326723177
1080,46,interesting,11,4.93745288
1081,46,appearance,10,4.064155849
1082,46,his,3,6.326723177
1083,46,refined,7,3.308867481
1084,46,bearing,7,3.979363103
1085,46,do,2,6.787261912
1086,46,for,3,6.837945999
1087,46,him,3,6.541548453
1088,46,here,4,6.655049248
1089,46,in,2,6.989451386
1090,46,this,4,6.901338909
1091,46,mud,3,4.170930022
1092,46,in,2,6.989451386
1093,46,this,4,6.901338909
1094,46,god-forsaken,12,1.5
1095,46,dreary,6,3.260317091
1096,46,place,5,5.779495619
1097,47,he,2,6.882339374
1098,47,got,3,6.518774133
1099,47,no,2,6.775492746
1100,47,special,7,5.171388743
1101,47,advantages,10,3.453202144
1102,47,out,3,6.58659127
1103,47,of,2,7.063009914
1104,47,life,4,5.900680964
1105,47,and,3,7.126115569
1106,47,here,4,6.655049248
1107,47,like,4,6.601353593
1108,47,semyon,6,1.5
1109,47,was,3,6.751817351
1110,47,driving,7,4.86944082
1111,47,at,2,6.506871261
1112,47,a,1,7.309359959
1113,47,jog-trot,8,1.5
1114,47,on,2,6.841747977
1115,47,an,2,6.269886772
1116,47,appalling,9,3.291834142
1117,47,road,4,5.04847025
1118,47,and,3,7.126115569
1119,47,enduring,8,2.982030222
1120,47,the,3,7.468477762
1121,47,same,4,5.619744536
1122,47,discomforts,11,1.893894133
1123,48,why,3,6.351352121
1124,48,live,4,5.536729476
1125,48,here,4,6.655049248
1126,48,if,2,6.548578339
1127,48,one,3,6.486861564
1128,48,could,5,6.211487424
1129,48,live,4,5.536729476
1130,48,in,2,6.989451386
1131,48,petersburg,10,3.291834142
1132,48,or,2,6.231208606
1133,48,abroad,6,3.691507864
1134,49,and,3,7.126115569
1135,49,one,3,6.486861564
1136,49,would,5,6.246862496
1137,49,have,4,6.789085934
1138,49,thought,7,5.907079076
1139,49,it,2,7.27578186
1140,49,would,5,6.246862496
1141,49,be,2,6.758829216
1142,49,nothing,7,5.930672691
1143,49,for,3,6.837945999
1144,49,a,1,7.309359959
1145,49,rich,4,4.904723911
1146,49,man,3,6.265580656
1147,49,like,4,6.601353593
1148,49,him,3,6.541548453
1149,49,to,2,7.355006441
1150,49,make,4,6.141720156
1151,49,a,1,7.309359959
1152,49,good,4,6.416070926
1153,49,road,4,5.04847025
1154,49,instead,7,4.898645289
1155,49,of,2,7.063009914
1156,49,this,4,6.901338909
1157,49,bad,3,5.735957042
1158,49,one,3,6.486861564
1159,49,to,2,7.355006441
1160,49,avoid,5,4.385255827
1161,49,enduring,8,2.982030222
1162,49,this,4,6.901338909
1163,49,misery,6,4.013644757
1164,49,and,3,7.126115569
1165,49,seeing,6,5.039401305
1166,49,the,3,7.468477762
1167,49,despair,7,3.768955397
1168,49,on,2,6.841747977
1169,49,the,3,7.468477762
1170,49,faces,5,4.426648512
1171,49,of,2,7.063009914
1172,49,his,3,6.326723177
1173,49,coachman,8,2.783195836
1174,49,and,3,7.126115569
1175,49,semyon,6,1.5
1176,49,but,3,6.644579913
1177,49,he,2,6.882339374
1178,49,only,4,6.034323607
1179,49,laughed,7,4.029026785
1180,49,and,3,7.126115569
1181,49,apparently,10,4.674931072
1182,49,did,3,6.368878477
1183,49,not,3,6.733802491
1184,49,mind,4,5.684812329
1185,49,and,3,7.126115569
1186,49,wanted,6,5.70036241
1187,49,no,2,6.775492746
1188,49,better,6,5.899235545
1189,49,life,4,5.900680964
1190,50,he,2,6.882339374
1191,50,was,3,6.751817351
1192,50,kind,4,5.770775614
1193,50,soft,4,4.505086194
1194,50,naive,5,3.810348082
1195,50,and,3,7.126115569
1196,50,he,2,6.882339374
1197,50,did,3,6.368878477
1198,50,not,3,6.733802491
1199,50,understand,10,5.682875162
1200,50,this,4,6.901338909
1201,50,coarse,6,3.136932182
1202,50,life,4,5.900680964
1203,50,just,4,6.676020833
