RECORDING_SESSION_LABEL,story,sentence,norm_dt_smooth
id2,SM,170,0.18937132480031163
id2,SM,171,0.24165060711828823
id2,SM,172,0.23931500870818118
id2,SM,173,0.24565157323455242
id2,SM,174,0.23005048061377442
id2,SM,175,0.29041078592266156
id2,SM,176,0.22262954291031897
id2,SM,177,0.18434502591814056
id2,SM,178,0.20249557695579176
id2,SM,179,0.26819192111117773
id2,SM,180,0.19934994380768917
id2,SM,181,0.19379623430106735
id2,SM,182,0.19731728332041376
id2,SM,183,0.17711873022858274
id2,SM,184,0.11088167542171208
id2,SM,185,0.10699608219370722
id2,SM,186,0.1527739733041284
id2,SM,187,0.15201292224129861
id2,SM,188,0.14788198089982862
id2,SM,189,0.20073151158969188
id2,SM,190,0.22241329561011783
id2,SM,191,0.18749690948972822
id2,SM,192,0.224095839841198
id2,SM,193,0.20531498224432396
id2,SM,194,0.16733031704250778
id2,SM,195,0.14594075532270043
id2,SM,196,0.1511302827218088
id2,SM,197,0.09920066094718351
id2,SM,198,0.20531274945595257
id2,SM,199,0.20531274945595257
id2,SM,200,0.20531274945595257
id2,SM,201,0.20531274945595257
id2,SM,202,0.20531274945595257
id3,SM,0,0.2961308697351982
id3,SM,1,0.231990116812867
id3,SM,2,0.2403157436415912
id3,SM,3,0.2108841940731144
id3,SM,4,0.21098449235412842
id3,SM,5,0.17042685927883722
id3,SM,6,0.1704886394166864
id3,SM,7,0.1576498883797362
id3,SM,8,0.17372258668630902
id3,SM,9,0.1613270269286312
id3,SM,10,0.1320552277208787
id3,SM,11,0.13859870478151248
id3,SM,12,0.14321788549779288
id3,SM,13,0.1770314503186155
id3,SM,14,0.18809506667564507
id3,SM,15,0.21995094299423723
id3,SM,16,0.2150005995855396
id3,SM,17,0.22644331474205956
id3,SM,18,0.18199405536607483
id3,SM,19,0.1746813671644154
id3,SM,20,0.1737284235472998
id3,SM,21,0.18150893649011962
id3,SM,22,0.17849250099507258
id3,SM,23,0.1855395559410264
id3,SM,24,0.1844124679573516
id3,SM,25,0.1723685266999322
id3,SM,26,0.182329928972786
id3,SM,27,0.1998584305612102
id3,SM,28,0.2001230680199208
id3,SM,29,0.2091111478021726
id3,SM,30,0.2521183875850236
id3,SM,31,0.2428421783934994
id3,SM,32,0.247379150246103
id3,SM,33,0.2499664678709152
id3,SM,34,0.22428392017638057
id3,SM,35,0.19501147345210662
id3,SM,36,0.18725410892419664
id3,SM,37,0.19203650585282742
id3,SM,38,0.18291278734556943
id3,SM,39,0.21372698921945382
id3,SM,40,0.2423321271217868
id3,SM,41,0.263006019611407
id3,SM,42,0.24120060787848202
id3,SM,43,0.2445423135767686
id3,SM,44,0.2215840702663064
id3,SM,45,0.188097359477358
id3,SM,46,0.1803197796256198
id3,SM,47,0.1759433953580162
id3,SM,48,0.21917906123237402
id3,SM,49,0.2316267355431952
id3,SM,50,0.24408182536355438
id3,SM,51,0.2196594789207061
id3,SM,52,0.21086869376775233
id3,SM,53,0.1462666756808217
id3,SM,54,0.11875428898110289
id3,SM,55,0.09613872526428306
id3,SM,56,0.11083766138491873
id3,SM,57,0.10413600378940595
id3,SM,58,0.11621674863334874
id3,SM,59,0.15158096388409495
id3,SM,60,0.1581008993086272
id3,SM,61,0.1400173197325202
id3,SM,62,0.1474747289826186
id3,SM,63,0.1837716089069804
id3,SM,64,0.18543196128927159
id3,SM,65,0.1777555847191037
id3,SM,66,0.20260428067898445
id3,SM,67,0.22154759705375365
id3,SM,68,0.21000479240549147
id3,SM,69,0.1884665750885049
id3,SM,70,0.2192463231689778
id3,SM,71,0.20550383488147822
id3,SM,72,0.21389648983889842
id3,SM,73,0.20259340731413822
id3,SM,74,0.220560144990349
id3,SM,75,0.1984618398620964
id3,SM,76,0.2141819653657068
id3,SM,77,0.2190886665831548
id3,SM,78,0.23373378039841838
id3,SM,79,0.25788720393156883
id3,SM,80,0.283805829758763
id3,SM,81,0.3042959249544166
id3,SM,82,0.276711225269311
id3,SM,83,0.26731320639828454
id3,SM,84,0.24744845734650517
id3,SM,85,0.2636479668824418
id3,SM,86,0.2896549259545826
id3,SM,87,0.26670607489221304
id3,SM,88,0.25704597428760634
id3,SM,89,0.2511076488307148
id3,SM,90,0.22546014073187556
id3,SM,91,0.1586618939294576
id3,SM,92,0.1901408523587082
id3,SM,93,0.2399745954915012
id3,SM,94,0.2144402290645493
id3,SM,95,0.22488366439750113
id3,SM,96,0.2608482225400871
id3,SM,97,0.2913812022131567
id3,SM,98,0.26827174246229835
id3,SM,99,0.2957227480772768
id3,SM,100,0.3583188292791224
id3,SM,101,0.3509578978911244
id3,SM,102,0.376629631347289
id3,SM,103,0.3440369615227118
id3,SM,104,0.3482621523869554
id3,SM,105,0.3034966227175494
id3,SM,106,0.293611550756209
