,Unnamed: 0.1,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral.1,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,word_freq,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,tally
202,202.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,3.0,SM,0.0076958774589002,0.0061875749379396,0.0039889053441584,0.0112792216241359,0.951099693775177,0.0028051324188709,0.0169436018913984,0.1619881242513656,0.7277104258537292,0.1103014573454856,2.6666666666666665,2.686666666666667,0.67,0.67,0.67,0.24,0.24,0.24,20.368100186,202,"Here we are.""",359.100350058343,517.8570595099183,,0.5119603267211201,0.5119603267211201,-0.14,1
15,15.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,3.0,SM,0.0764139294624328,0.0439781285822391,0.0121843945235013,0.0063212225213646,0.0475827977061271,0.0074733197689056,0.8060462474822998,0.3387139141559601,0.6330022811889648,0.0282837282866239,3.5,2.5725,0.551,0.551,0.551,0.35,0.35,0.35,27.352552315,15,"""Who told you that?""",125.3846153846154,372.55384615384617,37.24864398422091,0.3076923076923077,0.2923076923076923,2.71,1
17,17.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,9.0,SM,0.0454299189150333,0.123738519847393,0.1095803901553154,0.0059524113312363,0.562046229839325,0.083871029317379,0.0693815425038337,0.7236930727958679,0.2656152844429016,0.010691693983972,3.555555555555556,2.367777777777777,0.571,0.67,0.469,0.2515,0.353,0.125,57.024963927,17,And again they were silent for a long time.,334.3943661971832,1051.605633802817,161.22494582881907,0.9507042253521129,0.6338028169014085,2.71,1
20,20.0,1,0.9807692307692308,17.0,0.0,0.0,empty,0.0,0.0,11.0,SM,0.0586210638284683,0.7809762358665466,0.017393996939063,0.0215236321091651,0.1128000989556312,0.0045994315296411,0.0040855752304196,0.0096839517354965,0.4717381298542022,0.5185778141021729,3.363636363636364,2.952727272727273,0.6063333333333333,0.76,0.529,0.2966666666666667,0.315,0.269,69.598922686,20,When he came up to her he recognized her and bowed.,388.5625,1093.8125,143.94910714285714,0.75,0.5,2.71,1
21,21.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,5.0,SM,0.0104506108909845,0.0133192660287022,0.0056282160803675,0.237496793270111,0.7130539417266846,0.0122617576271295,0.0077894967980682,0.0048894342035055,0.3470036089420318,0.6481068730354309,3.5,2.75,0.7323333333333334,0.938,0.571,0.3043333333333333,0.368,0.235,39.080952118,21,"""Good-morning,"" he said to her.",193.1741573033708,521.7134831460673,64.12731853040842,0.3651685393258426,0.3089887640449438,2.71,1
22,22.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,6.0,SM,0.0238773245364427,0.0604103468358516,0.0282180588692426,0.0036593559198081,0.8518609404563904,0.0056237163953483,0.0263502337038517,0.0682538002729415,0.8659375309944153,0.0658087953925132,3.6666666666666665,3.205,0.675,0.854,0.551,0.3855,0.689,0.24,32.052053287,22,"""You are driving home, I suppose.""",263.06451612903226,509.5806451612903,73.28545826932924,0.5161290322580645,0.4193548387096774,2.71,1
35,35.0,3,1.0,17.0,0.0,0.0,empty,0.0,0.0,1.0,SM,0.1113387271761894,0.5663744211196899,0.0294830184429883,0.0027331348974257,0.0389294885098934,0.0586448237299919,0.1924963295459747,0.8565725684165955,0.1288889199495315,0.0145383868366479,5.666666666666667,1.62,0.719,0.719,0.719,0.353,0.353,0.353,14.585944698,35,How unbusiness-like!,80.50218340611355,226.10917030567688,10.835811325986,0.1703056768558952,0.1834061135371179,2.71,1
43,43.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,3.0,SM,0.0926509425044059,0.0693366304039955,0.0158684980124235,0.0058758677914738,0.0139544578269124,0.0107381241396069,0.7915754914283752,0.0657425969839096,0.3910029232501983,0.5432543158531189,3.0,2.736666666666667,0.656,0.656,0.656,0.404,0.404,0.404,19.350338653,43,"""What a road!""",171.23076923076923,1208.1923076923078,45.20245726495727,0.3461538461538462,0.4038461538461539,2.71,1
52,52.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,7.0,SM,0.176818698644638,0.1214360445737838,0.0053190635517239,0.0038582009728997,0.3821251392364502,0.0190428383648395,0.2914000451564789,0.1769886612892151,0.7949156165122986,0.0280957110226154,3.4285714285714284,2.7157142857142853,0.6226666666666666,0.76,0.438,0.3043333333333333,0.358,0.24,43.113360502,52,And what use were his globes here?,268.27225130890054,582.7225130890052,84.44589877835952,0.4031413612565445,0.4764397905759162,2.71,1
53,53.0,0,0.0,17.0,0.0,0.0,empty,0.0,0.0,3.0,SM,0.7196728587150574,0.0267693810164928,0.212427482008934,0.0035851914435625,0.0214782692492008,0.0100931841880083,0.0059736249968409,0.1147206425666809,0.7521610260009766,0.1331182867288589,5.666666666666667,3.465,0.448,0.448,0.448,0.29,0.29,0.29,13.981380334,53,"""Hold on, Vassilyevna!""",97.86885245901638,229.37704918032787,38.11390027322405,0.1147540983606557,0.1967213114754098,2.71,1
