,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
32.0,0,0.0,23,6680.0,8254.0,132.86833333333334,5.0,7.0,34,SM,0.02221936546266079,0.10687782615423203,0.7181154489517212,0.0035959503147751093,0.10969444364309311,0.010303881950676441,0.029193125665187836,0.0269811116158962,0.8392337560653687,0.1337851136922836,4.117647058823529,2.8206060606060603,0.5596923076923077,0.714,0.365,0.40792307692307694,0.865,0.288,32,"Semyon tacked from side to side, keeping to the edge of the road, at one time through a snowdrift, at another through a pool, often jumping out of the cart and helping the horse.",6680.0,8254.0,132.86833333333334,5.0,7.0,3.0
33.0,0,0.0,23,3614.0,4024.0,135.42857142857142,2.0,2.0,21,SM,0.010941147804260254,0.014013980515301228,0.12665697932243347,0.005194938741624355,0.08993151783943176,0.008283598348498344,0.7449778914451599,0.2243541479110717,0.7312476634979248,0.0443981774151325,5.809523809523809,2.2647368421052634,0.614909090909091,0.939,0.235,0.44681818181818184,0.771,0.194,33,"Marya Vassilyevna was still thinking about the school, wondering whether the arithmetic questions at the examination would be difficult or easy.",3614.0,4024.0,135.42857142857142,2.0,2.0,3.0
34.0,0,0.0,23,5082.0,4588.0,129.20833333333334,3.0,3.0,17,SM,0.8519898653030396,0.06212505325675011,0.004349326714873314,0.0016638990491628647,0.05051953345537186,0.021754978224635124,0.007597367744892836,0.8480405807495117,0.1442421972751617,0.0077173924073576,3.9444444444444446,2.5623529411764707,0.6128571428571429,0.802,0.104,0.4492857142857143,0.783,0.255,34,And she felt annoyed with the Zemstvo board at which she had found no one the day before.,5082.0,4588.0,129.20833333333334,3.0,3.0,3.0
35.0,0,0.0,23,848.0,3400.0,132.66500000000002,1.0,2.0,2,SM,0.11133872717618942,0.5663744211196899,0.029483018442988396,0.0027331348974257708,0.03892948850989342,0.05864482372999191,0.19249632954597473,0.8565725684165955,0.1288889199495315,0.0145383868366479,5.666666666666667,1.62,0.719,0.719,0.719,0.353,0.353,0.353,35,How unbusiness-like!,848.0,3400.0,132.66500000000002,1.0,2.0,3.0
36.0,0,0.0,23,7170.0,9688.0,129.68,6.0,6.0,32,SM,0.6985368132591248,0.18911130726337433,0.003833046415820718,0.001664981129579246,0.04384515434503555,0.05843957141041756,0.004569121636450291,0.7967612743377686,0.192874476313591,0.0103642074391245,4.0625,2.5881250000000002,0.5168,0.757,0.061,0.4671333333333333,0.931,0.2,36,"Here she had been asking them for the last two years to dismiss the watchman, who did nothing, was rude to her, and hit the schoolboys; but no one paid any attention.",7170.0,9688.0,129.68,6.0,6.0,3.0
37.0,0,0.0,23,14014.0,22750.0,126.92391304347827,13.0,11.0,68,SM,0.00604358920827508,0.12764248251914978,0.003270384855568409,0.006172452587634325,0.7012783288955688,0.13476279377937317,0.020829886198043823,0.5313431024551392,0.4195989966392517,0.0490578897297382,4.173913043478261,2.673787878787879,0.6183125,0.774,0.302,0.4391875,0.708,0.225,37,"It was hard to find the president at the office, and when one did find him he would say with tears in his eyes that he hadn’t a moment to spare; the inspector visited the school at most once in three years, and knew nothing whatever about his work, as he had been in the Excise Duties Department, and had received the post of school inspector through influence.",14014.0,22750.0,126.92391304347827,13.0,11.0,3.0
38.0,0,0.0,23,12020.0,67974.0,118.48529411764706,12.0,12.0,47,SM,0.1291152536869049,0.7309384942054749,0.011042388156056404,0.002083508064970374,0.09013717621564865,0.019170638173818588,0.017512617632746696,0.4646015167236328,0.4505959749221802,0.08480254560709,4.836734693877551,2.1843478260869564,0.6349090909090909,0.969,0.061,0.4531818181818182,0.821,0.24,38,"The School Council met very rarely, and there was no knowing where it met; the school guardian was an almost illiterate peasant, the head of a tanning business, unintelligent, rude, and a great friend of the watchman’s—and goodness knows to whom she could appeal with complaints or inquiries....",12020.0,67974.0,118.48529411764706,12.0,12.0,3.0
39.0,4,0.9824561403508772,23,1726.0,2134.0,130.85714285714286,1.0,2.0,9,SM,0.017478112131357193,0.2510853409767151,0.011444655247032642,0.1929008960723877,0.21364228427410126,0.009023738093674183,0.3044250011444092,0.0031454064883291,0.0896655097603797,0.9071889519691468,4.777777777777778,2.64625,0.74275,0.89,0.625,0.40125,0.6,0.24,39,"""He really is handsome,"" she thought, glancing at Hanov.",1726.0,2134.0,130.85714285714286,1.0,2.0,3.0
40.0,1,1.0,23,1562.0,1332.0,132.734,3.0,1.0,6,SM,0.028191594406962395,0.9473656415939331,0.010199934244155884,0.0004148053121753037,0.004441949538886547,0.008739217184484005,0.0006468920619226992,0.945687472820282,0.0496618635952472,0.0046506533399224,4.0,2.348333333333333,0.455,0.914,0.125,0.56725,0.625,0.404,40,The road grew worse and worse....,1562.0,1332.0,132.734,3.0,1.0,3.0
41.0,1,1.0,23,384.0,550.0,130.5,1.0,1.0,5,SM,0.1807907670736313,0.1637636125087738,0.5493220686912537,0.0028624567203223705,0.06043526902794838,0.017810404300689697,0.025015423074364662,0.2554003596305847,0.6790157556533813,0.0655839145183563,4.0,3.074,0.5595,0.625,0.494,0.4355,0.689,0.182,41,They drove into the wood.,384.0,550.0,130.5,1.0,1.0,3.0
